1	4854	9652	GRMZM2G059865;	-
1	9882	10387	GRMZM5G888250;	-
1	109519	111769	GRMZM2G093344;	-
1	136307	138929	GRMZM2G093399;	+
1	144361	144657	GRMZM5G809743;	+
1	144957	145646	GRMZM5G833153;	+
1	146265	147500	GRMZM2G306216;	-
1	161143	161925	AC177838.2_FG015;	+
1	234779	235890	GRMZM2G104572;	+
1	243464	243742	GRMZM5G822187;	+
1	257026	257371	GRMZM5G815900;	+
1	264626	270895	GRMZM2G023794;	-
1	272525	274767	GRMZM2G023863;	+
1	371975	375908	GRMZM2G137648;	-
1	372538	374866	GRMZM2G137697;	+
1	379244	385788	GRMZM2G408834;	+
1	423621	424483	GRMZM2G108663;	-
1	458334	458906	AC204887.4_FG003;	-
1	514921	516015	GRMZM2G471814;	+
1	515997	526846	GRMZM2G330436;	-
1	644608	652093	GRMZM2G032104;	-
1	644611	645388	GRMZM2G333069;	+
1	674823	680487	GRMZM2G399700;	-
1	722064	722516	GRMZM2G703460;	+
1	831120	835214	GRMZM2G474694;	-
1	983402	991117	GRMZM2G172183;	+
1	995085	997695	GRMZM2G073979;	+
1	997921	998660	GRMZM2G374777;	+
1	999356	1003190	GRMZM2G374779;	+
1	1001050	1004936	GRMZM2G374812;	-
1	1034670	1040163	GRMZM2G052586;	-
1	1155582	1156724	GRMZM2G483779;	-
1	1175065	1175912	GRMZM2G002121;	-
1	1193131	1201437	GRMZM2G026639;	-
1	1273392	1287902	GRMZM2G058632;	-
1	1498897	1505329	GRMZM2G367714;	+
1	1564786	1566049	GRMZM2G097229;	-
1	1662969	1664360	GRMZM2G474194;	+
1	1752158	1752469	GRMZM2G703462;	-
1	1760349	1762553	GRMZM2G161483;	+
1	1777859	1780778	GRMZM2G161540;	-
1	1778109	1779260	AC193500.3_FG003;	+
1	1785557	1787537	GRMZM2G161560;	-
1	1855720	1858341	GRMZM2G079891;	-
1	1874719	1876326	GRMZM2G379898;	+
1	1953455	1955531	GRMZM2G060265;	+
1	1953659	1955309	GRMZM2G361164;	-
1	1960833	1968021	GRMZM2G060296;	-
1	1969043	1969744	GRMZM2G176952;	-
1	2035661	2037950	GRMZM2G164696;	+
1	2040712	2045157	GRMZM2G703466;	-
1	2085433	2087708	GRMZM2G114469;	-
1	2088572	2102312	GRMZM2G114459;	-
1	2159241	2166541	GRMZM2G458423;	-
1	2205748	2210356	GRMZM2G109725;	-
1	2219065	2223784	GRMZM2G410990;	+
1	2304389	2306012	GRMZM2G158378;	-
1	2398448	2402912	GRMZM2G459354;	-
1	2426203	2433529	GRMZM2G329177;	+
1	2464882	2467458	GRMZM2G028870;	-
1	2535973	2542554	GRMZM2G052546;	-
1	2655521	2658069	GRMZM2G035377;	+
1	2683790	2690223	GRMZM2G085691;	+
1	2690772	2692141	GRMZM2G388684;	-
1	2725603	2734211	GRMZM2G085827;	+
1	2734521	2739053	GRMZM2G085872;	-
1	2739479	2748501	GRMZM2G085885;	+
1	2740244	2744906	GRMZM2G086242;	-
1	2751021	2753499	GRMZM2G086269;	+
1	2781765	2783974	GRMZM2G042552;	+
