-19	125
-18	166
-17	133
-16	143
-15	157
-14	175
-13	169
-12	176
-11	175
-10	206
-9	227
-8	240
-7	278
-6	356
-5	397
-4	481
-3	493
-2	545
-1	523
0	294
0	53
1	34
2	30
3	10
4	28
5	23
6	29
7	32
8	26
9	25
10	20
11	25
12	18
13	18
14	20
15	20
16	13
17	23
18	23
19	17
20	29
21	26
22	24
23	15
24	18
25	24
26	22
27	19
28	22
29	14
30	15
31	18
32	27
33	30
34	19
35	25
36	17
37	22
38	21
39	25
40	15
41	25
42	16
43	20
44	24
45	35
46	24
47	30
48	15
49	33
50	35
51	31
52	28
53	21
54	26
55	18
56	23
57	26
58	29
59	26
60	32
61	23
62	26
63	24
64	19
65	24
66	24
67	21
68	23
69	19
70	29
71	22
72	21
73	30
74	32
75	25
76	32
77	37
78	34
79	27
80	24
81	36
82	34
83	38
84	39
85	43
86	42
87	41
88	53
89	38
90	52
91	47
92	59
93	61
94	59
95	51
96	61
97	45
98	35
99	35
0	149
1	219
2	229
3	224
4	225
5	197
6	195
7	201
8	190
9	204
10	162
11	160
12	148
13	153
14	146
15	139
16	123
17	130
18	124
19	128
