-19	13
-18	23
-17	19
-16	20
-15	24
-14	26
-13	23
-12	17
-11	29
-10	25
-9	29
-8	37
-7	33
-6	44
-5	43
-4	52
-3	57
-2	58
-1	93
0	56
0	10
1	6
2	7
3	3
4	5
5	5
6	8
7	12
8	7
9	12
10	6
11	10
12	2
13	4
14	5
15	4
16	4
17	6
18	2
19	3
20	11
21	4
22	3
23	1
24	2
25	6
26	3
27	2
28	2
29	3
30	3
31	6
32	3
33	8
34	5
35	6
36	5
37	4
38	6
39	7
40	2
41	5
42	3
43	8
44	3
45	10
46	8
47	11
48	3
49	8
50	4
51	8
52	6
53	5
54	6
55	4
56	7
57	3
58	12
59	8
60	9
61	6
62	6
63	10
64	7
65	4
66	9
67	5
68	8
69	4
70	6
71	8
72	5
73	11
74	9
75	8
76	8
77	7
78	8
79	12
80	7
81	5
82	15
83	15
84	15
85	15
86	12
87	10
88	25
89	14
90	11
91	16
92	17
93	25
94	16
95	18
96	11
97	11
98	10
99	6
0	25
1	39
2	33
3	30
4	32
5	28
6	24
7	18
8	32
9	33
10	21
11	29
12	30
13	20
14	13
15	25
16	17
17	23
18	14
19	18
